product_id,name,category
1,Kids' Trampoline,Toys
2,Mini Waffle Maker,Kitchen
3,Cranberry Lime Sparkling Water,Food - Beverages
4,Sweet Cherry Tomatoes,Food - Produce
5,Frozen Berry Blend,Food - Frozen Foods
6,Sliced Cucumbers,Food - Produce
7,Peanut Butter Filled Pretzels,Food - Snacks
8,Coconut Milk,Food - Canned Goods
9,Coffee Subscription Service,Food
10,Tea Infuser Bottle,Kitchen
11,Adjustable Laptop Stand,Office
12,Chickpea Salad Deluxe,Food - Produce
13,Puzzle,Toys
14,Camping Tent,Outdoor
15,Portable Camping Stove,Outdoor
16,Spicy Thai Coconut Soup,Food - Soups
17,Beef Stroganoff Meal Kit,Food - Frozen Meals
18,Leather Wallet,Accessories
19,Foldable Picnic Table,Outdoor
20,Honey Mustard Pretzel Bites,Food - Snacks
21,Canvas High-Top Sneakers,Clothing - Footwear
22,Instant Mashed Potatoes,Food - Sides
23,Bock Beer Mustard,Food - Condiments
24,Smoked Paprika,Food - Spices
25,Mesh Laundry Bags Set,Home
26,Herbal Tea Variety Pack,Food - Beverages
27,Quinoa,Food - Grains
28,Black Bean Soup,Food - Soups
29,Ankle Boots,Clothing - Footwear
30,Sweet Potato & Kale Hash,Food - Prepared Foods
31,Coconut Chia Seed Pudding,Food - Snacks
32,Paprika,Food - Spices
33,Sweet Potatoes,Food - Produce
34,Handcrafted Wooden Coasters,Home
35,Granulated Sugar,Food - Baking
36,Stainless Steel BBQ Grill Set,Outdoor
37,Blue Denim Jeans,Clothing - Bottoms
38,Coconut Cashew Yogurt,Food - Dairy Alternatives
39,Eco-Friendly Yoga Mat,Fitness
40,Streaming Device,Electronics
41,Faux Leather Leggings,Clothing - Pants
42,Zesty Cilantro Lime Dressing,Food - Condiments
43,Creamy Garlic Dressing,Food - Condiments
44,Cinnamon Rolls,Food - Bakery
45,Turkey Bacon,Food - Meat
46,Chicken Parmesan Dinner Kit,Food - Frozen Meals
47,Buffalo Chicken Dip,Food - Dips
48,Blender Bottle,Fitness
49,Travel Makeup Organizer,Beauty
50,Comfy Slippers,Footwear
51,Tahini,Food - Condiments
52,Italian Herbal Seasoning,Food - Spices
53,Sketchbook,Art Supplies
54,Casual Sneakers,Clothing - Footwear
55,Coconut Milk Ice Cream,Food - Frozen Desserts
56,Multi-Layer Food Steamer,Kitchen
57,Backpack,Accessories
58,Roasted Red Pepper Sauce,Food - Sauces
59,USB Wall Charger,Accessories
60,Sweet Potato Tots,Food - Frozen Foods
61,Stylish Wireless Earbuds,Audio
62,Car Windshield Sun Shade,Automotive
63,Carrot and Celery Sticks,Food - Produce
64,Kids' Educational Tablet,Electronics
65,Blue Corn Tortilla Chips,Food - Snacks
66,Cherry Almond Protein Bar,Food - Snacks
67,Kid's Fruit Snacks,Food - Snacks
68,Adjustable Dog Harness,Pets
69,Noise Cancelling Ear Muffs,Safety
70,Honey Glazed Carrots,Food - Produce
71,Mango Sticky Rice Dessert,Food - Frozen Desserts
72,Athletic Jogging Jacket,Clothing - Outerwear
73,Frozen Edamame,Food - Frozen Foods
74,Adjustable Dumbbells,Fitness
75,Insulated Wine Tote,Accessories
76,Overnight Duffle Bag,Travel
77,Children's Musical Instrument Set,Toys
78,Maple Almond Granola,Food - Breakfast
79,Hiking Gaiters,Outdoor
80,Outdoor Camping Hammock,Outdoor
81,Marinara Sauce,Food - Condiments
82,Mango Salsa,Food - Condiments
83,Animal Paw Print Soap Dispenser,Home
84,Indoor Plants,Garden
85,Cranberry Lime Sparkling Water,Food - Beverages
86,Bluetooth Shower Speaker,Audio
87,Lemon Garlic Shrimp,Food - Seafood
88,Sweetened Condensed Milk,Food - Baking Goods
89,Vintage Button-Down Shirt,Clothing - Shirts
90,Electric Butter Churn,Kitchen
91,Rain Jacket,Clothing
92,Dark Chocolate Covered Pretzels,Food - Snacks
93,Sweet Potato Chips,Food - Snacks
94,Durable Hiking Boots,Footwear
95,Vegetable Korma,Food - Frozen
96,Induction Cooktop,Kitchen
97,Pesto Genovese,Food - Condiments
98,Pumpkin Spice Muffins,Food - Bakery
99,Mixed Nuts,Food - Snacks
100,Cat Tree with Scratching Posts,Pets
101,Coconut Milk Ice Cream,Food - Frozen Desserts
102,Teriyaki Chicken Stir-Fry,Food - Frozen Foods
103,Chocolate Mint Thins,Food - Snacks
104,Classic Cheesecake Mix,Food - Desserts
105,Sesame Garlic Stir-Fry Sauce,Food - Sauces
106,Cinnamon Sugar Tortilla Chips,Food - Snacks
107,Outdoor Camping Lantern,Outdoor
