product_id,product_name,product_category_id,sales
1,Pizza Stone,1,806
2,Spinach and Feta Wraps,2,319
3,Dark Chocolate Covered Almonds,3,393
4,Bike Repair Tool Kit,4,123
5,Cranberry Citrus Sauce,5,263
6,Smartphone Projector,6,742
7,Bluetooth Tracker,7,726
8,Cinnamon Raisin Bread,8,830
9,Compact Shoe Rack,9,330
10,Pet Hair Removal Roller,10,942
11,Rechargeable Battery Organizer,11,931
12,DIY Organic Gardening Kit,12,37
13,Sliced Bread,8,494
14,Rechargeable Electric Toothbrush,13,104
15,Kids' Science Experiment Kit,14,351
16,Creamy Tomato Basil Soup,15,489
17,Kombucha Drink,16,402
18,Memory Card,17,37
19,Savory Oats,18,930
20,Instant Camera,19,704
21,Self-Watering Planters,20,488
22,Apple Cinnamon Oatmeal,21,250
23,Vacuum Sealer Machine,22,149
24,Sweet and Spicy Barbecue Sauce,23,177
25,Vegan Cheese,24,435
26,Cinnamon Spiced Almonds,3,801
27,Kids' Outdoor Explorer Kit,25,519
28,Smartphone Projector Kit,26,339
29,Pet Camera with Treat Dispenser,27,932
30,Tea Set with Infuser,28,912
31,Buffalo Stilton Cheese,29,580
32,Cheesy Broccoli Soup Mix,30,359
33,Brown Rice,31,633
34,Portable Campfire,32,694
35,Ginger Turmeric Latte Mix,33,775
36,Pet Grooming Kit,10,723
37,Wireless Smart Plug,34,717
38,Rice Noodles,35,964
39,Fitness Tracker,36,382
40,Savory Breakfast Sausage,37,184
41,Frozen Chicken Nuggets,38,924
42,Rice Cakes,39,71
43,Potato Wedge Seasoning,40,100
44,Deep Tissue Massage Gun,41,148
45,Foot Massager,42,520
46,Mediterranean Couscous Salad,43,850
47,Smart WiFi Plug,44,834
48,Dark Chocolate Bars,45,729
49,Spicy Beef Taco Mix,40,203
50,Stainless Steel Grater,46,296
51,Chickpea Pasta,47,655
52,White Rice,48,749
53,Veggie Chips Variety Pack,39,533
54,Solar Power Bank,49,319
55,Smart Water Bottle with Hydration Reminder,50,933
56,Electric Pressure Cooker,51,723
57,Party Mini Dress,52,163
58,Handheld Vacuum,53,24
59,Avocado Lime Dressing,54,149
60,Sports Windbreaker,55,437
61,DIY Lip Balm Kit,56,752
62,Organic Coconut Flour,57,220
